,popularity
179157,37
36475,38
207636,58
118473,56
196268,0
107664,12
56808,54
92761,52
225954,57
222297,63
172777,16
11998,42
27632,46
143337,47
79210,56
50802,33
35446,11
16741,56
83877,45
19456,53
101935,51
209654,38
17624,65
187456,19
17268,48
160098,44
102548,51
49428,38
114009,71
95890,58
202980,30
187781,21
20404,54
144699,45
33054,18
201572,28
224817,62
102728,55
103723,44
37313,28
124127,48
109847,65
16346,67
172392,18
88735,63
79548,19
163292,30
164961,19
226181,57
86856,38
224493,60
151750,66
209728,38
215063,54
207990,45
90785,50
231507,45
11563,51
88756,54
209663,37
62638,45
20988,55
212450,68
105764,6
60920,58
162115,32
131340,41
195322,1
218808,30
25491,38
208334,45
219733,32
79278,55
109268,71
52112,30
166497,66
219110,28
72870,3
77597,62
83763,49
190868,16
164928,28
70443,57
22138,42
79126,55
70162,59
41282,61
124784,42
231508,50
66053,40
62091,48
53112,28
148222,45
97977,49
89746,67
173009,18
10207,48
43065,48
128484,33
173369,16
53573,33
188187,20
27637,48
145025,44
195742,0
208356,44
32169,17
204050,31
194822,10
107712,3
136340,53
179924,28
229754,37
32340,19
108227,83
91448,50
83554,47
179651,39
135470,48
221086,18
74052,0
38996,21
173661,16
211660,12
2409,42
84785,49
17159,61
6193,53
178648,36
59042,22
36245,29
79759,15
164737,18
151270,61
66263,44
64417,42
